,ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
0,Gas_Generator_1.5_MW_Unit_1,1500.0,300.0,500.0,0.0,1350.0,50.0,0.0,150.0,40.0,15.0,25.0,20000.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,2
1,Gas_Generator_1.5_MW_Unit_2,1500.0,300.0,500.0,0.0,1350.0,50.0,0.0,0.0,40.0,15.0,25.0,20000.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,2
2,Gas_Generator_1.5_MW_Unit_3,1500.0,300.0,500.0,50.0,1350.0,50.0,30.0,0.0,40.0,15.0,25.0,20000.0,2000.0,54000.0,0.0,0.0,0.0,0.0,0.0,8.0,43.0,Active,2
3,BESS,6000.0,0.0,3500.0,4950.0,950.0,0.0,120.0,0.0,7.0,2.0,5.0,24500.0,34650.0,6650.0,0.0,0.0,4950.0,950.0,0.0,9.0,9.0,Discharging (SOC: 65.0%),1
4,TOTAL,10500.0,900.0,5000.0,5000.0,5000.0,150.0,150.0,150.0,,,,84500.0,36650.0,168650.0,0.0,0.0,4950.0,950.0,0.0,,,Savings: PKR 47850.00/hr (Enhanced Reliability Mode),0
