,ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
0,Grid,4700,0,3000,0,0,50,0,0,42.0,12.0,30.0,126000,0,0,0,0,0,0,0,5.0,48,Active,5
1,Gas_Generator_2.5_MW_Unit_1,2500,500,1500,0,324.98,50,0,194.99,40.0,15.0,25.0,60000,0,12999.28,0,0,0,0,0,8.0,43,Active,2
2,Gas_Generator_1.5_MW_Unit_1,1500,300,1000.01,830.01,505.03,50,200,5.01,40.0,15.0,25.0,40000.4,33200.4,20201.12,0,0,0,0,0,8.0,43,Active,2
3,Gas_Generator_1.5_MW_Unit_2,1500,300,500,0,0,50,0,0,40.0,15.0,25.0,20000,0,0,0,0,0,0,0,8.0,43,Active,2
4,BESS,6000,0,0,5170,5170,0,0,0,7.0,2.0,5.0,0,36190,36190,0,0,5170,5170,0,9.0,9,Discharging (SOC: 67.0%),1
5,TOTAL,16200,1100,6000.01,6000.01,6000.01,200,200,200,,,,246000.4,69390.4,69390.4,0,0,5170,5170,0,,,Savings: PKR 176610.00/hr,0
