ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
Solar,2199.99,0.0,2200.0,2199.99,2199.99,0.0,0.0,0.0,5.5,3.0,2.5,12100.0,12099.94,12099.94,0.0,0.0,0.0,0.0,0.0,9.0,7.5,Active,1
Wind,6500.0,650.0,6500.0,6500.0,6500.0,800.0,800.0,800.0,5.5,4.0,1.5,35750.0,35750.0,35750.0,0.0,0.0,0.0,0.0,0.0,8.5,8.0,Active,2
Grid,1500.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,42.0,12.0,30.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,5.0,48.0,Active (Standby),4
Diesel_Generator_2.5_MW_Unit_1,2500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,7
Diesel_Generator_1.5_MW_Unit_1,1500.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,20.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,63.0,Active,5
Diesel_Generator_1.5_MW_Unit_2,1500.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,20.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,63.0,Active,5
BESS,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,18900.0,18900.0,18900.0,2700.0,2700.0,0.0,0.0,0.0,9.0,9.0,Standby (SOC: 33.0%) - Emergency Ready,3
TOTAL,21699.99,1750.0,8700.0,8700.0,8700.0,800.0,800.0,800.0,,,,66750.0,66750.37,66750.37,2700.0,2700.0,0.0,0.0,0.0,,,Savings: PKR -0.37/hr (Enhanced Reliability Mode),0
