ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
Solar,2199.99,0.0,2199.99,1269.99,2199.99,0.0,0.0,0,5.5,3.0,2.5,12099.94,6984.94,12099.94,0.0,0.0,0.0,0.0,0.0,9.0,7.5,Active,1
Grid,1500.0,0.0,3800.0,0.0,5.0,800.0,0.0,0,42.0,12.0,30.0,159600.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,Active,3
Diesel_Generator_2.5_MW_Unit_1,2500.0,500.0,0.0,0.0,1727.27,0.0,0.0,0,60.0,20.0,40.0,0.0,0.0,103636.36,0.0,0.0,0.0,0.0,0.0,7.0,64.0,Active,6
Diesel_Generator_1.5_MW_Unit_1,1500.0,300.0,0.0,0.0,1031.36,0.0,0.0,0,59.0,20.0,39.0,0.0,0.0,60850.45,0.0,0.0,0.0,0.0,0.0,7.0,63.0,Active,4
Diesel_Generator_1.5_MW_Unit_2,1500.0,300.0,0.0,0.0,1036.36,0.0,0.0,0,59.0,20.0,39.0,0.0,0.0,61145.45,0.0,0.0,0.0,0.0,0.0,7.0,63.0,Active,4
BESS,6000.0,0.0,0.0,4730.0,0.0,0.0,800.0,0,7.0,2.0,5.0,0.0,33110.0,0.0,0.0,0.0,4730.0,0.0,0.0,9.0,9.0,Discharging (SOC: 63.0%),2
TOTAL,15199.99,1100.0,5999.99,5999.99,5999.99,800.0,800.0,0,,,,171699.94,40094.94,237942.22,0.0,0.0,4730.0,0.0,0.0,,,Savings: PKR 131605.00/hr,0
