,ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
0,Wind,6500,650,6000,6000,6000,800,800,800,5.5,4.0,1.5,33000,33000,33000,0,0,0,0,0,8.5,8,Active,1
1,BESS,6000,0,0,0,0,0,0,0,7.0,2.0,5.0,3500,3500,3500,500,500,0,0,0,9.0,9,Charging (SOC: 24.0%),2
2,TOTAL,12500,650,6000,6000,6000,800,800,800,,,,36500,36500,36500,500,500,0,0,0,,,Savings: PKR 0.00/hr,0
