,ENERGY SOURCE,MAXIMUM CAPACITY (kW),MINIMUM CAPACITY (kW),CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT KVAR (kVAR),COST OPTIMIZED KVAR (kVAR),RELIABILITY OPTIMIZED KVAR (kVAR),TOTAL COST (PKR/kWh),PRODUCTION COST (PKR/kWh),CARBON COST (PKR/kWh),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,COST OPTIMIZED CHARGE (kW),RELIABILITY OPTIMIZED CHARGE (kW),COST OPTIMIZED DISCHARGE (kW),RELIABILITY OPTIMIZED DISCHARGE (kW),GRID FEED (kW),RELIABILITY SCORE,EFFICIENCY SCORE,STATUS,priority
0,Grid,4700,0,4700,390,390,500,234,234,42.0,12.0,30.0,197400,16380,16380,0,0,0,0,0,5.0,48,Active,2
1,BESS,6000,0,1300,5610,5610,0,266,266,7.0,2.0,5.0,9100,39270,39270,0,0,5610,5610,0,9.0,9,Discharging (SOC: 71.0%),1
2,TOTAL,10700,0,6000,6000,6000,500,500,500,,,,206500,55650,55650,0,0,5610,5610,0,,,Savings: PKR 150850.00/hr,0
