,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Solar,550.0,1245.0,2195.0,3025.0,6847.5,12072.5,5.5
1,Wind,1625.0,0.0,3775.0,8937.5,0.0,20762.5,5.5
2,Grid,3800.0,0.0,5.0,159600.0,0.0,210.0,42.0
3,BESS,0.0,4730.0,0.0,0.0,33110.0,0.0,7.0
4,TOTAL,5975.0,5975.0,5975.0,171562.5,39957.5,33045.0,
