,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Grid,3000.0,0.0,0.0,126000.0,0.0,0.0,42.0
1,Gas_Generator_2.5_MW_Unit_1,1500.0,0.0,324.98,60000.0,0.0,12999.28,40.0
2,Gas_Generator_1.5_MW_Unit_1,1000.01,830.01,505.03,40000.4,33200.4,20201.12,40.0
3,Gas_Generator_1.5_MW_Unit_2,500.0,0.0,0.0,20000.0,0.0,0.0,40.0
4,BESS,0.0,5170.0,5170.0,0.0,36190.0,36190.0,7.0
5,TOTAL,6000.01,6000.01,6000.01,246000.4,69390.4,69390.4,
