,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Solar,1650,2200,2200,9075.0,12100,12100,5.5
1,Wind,4875,4900,6500,26812.5,26950,35750,5.5
2,Grid,0,0,20,0.0,0,840,42.0
3,BESS,0,0,0,3675.0,7700,42000,7.0
4,TOTAL,6525,7100,8720,39562.5,46750,90690,
