,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Grid,4700,390,390,197400,16380,16380,42.0
1,BESS,1300,5610,5610,9100,39270,39270,7.0
2,TOTAL,6000,6000,6000,206500,55650,55650,
