,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Solar,1100.0,1380.0,2195.0,6050.0,7590.0,12072.5,5.5
1,Wind,3250.0,0.0,3800.0,17875.0,0.0,20900.0,5.5
2,Grid,1650.0,0.0,5.0,69300.0,0.0,210.0,42.0
3,Diesel_Generator_2.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,60.0
4,Diesel_Generator_1.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,59.0
5,Diesel_Generator_1.5_MW_Unit_2,0.0,0.0,0.0,0.0,0.0,0.0,59.0
6,BESS,0.0,4620.0,0.0,0.0,32340.0,0.0,7.0
7,TOTAL,6000.0,6000.0,6000.0,93225.0,39930.0,33182.5,
