,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Solar,2200.0,2199.99,2199.99,12100.0,12099.94,12099.94,5.5
1,Wind,6500.0,6500.0,6500.0,35750.0,35750.0,35750.0,5.5
2,Grid,0.0,0.01,0.01,0.0,0.42,0.42,42.0
3,Diesel_Generator_2.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,60.0
4,Diesel_Generator_1.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,59.0
5,Diesel_Generator_1.5_MW_Unit_2,0.0,0.0,0.0,0.0,0.0,0.0,59.0
6,BESS,0.0,0.0,0.0,18900.0,18900.0,18900.0,7.0
7,TOTAL,8700.0,8700.0,8700.0,66750.0,66750.37,66750.37,
