,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Wind,6000,6000,6000,33000,33000,33000,5.5
1,BESS,0,0,0,3500,3500,3500,7.0
2,TOTAL,6000,6000,6000,36500,36500,36500,
