,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Wind,6500.0,6500.0,6495.0,35750.0,35750.0,35722.5,5.5
1,Grid,0.0,0.0,5.0,0.0,0.0,210.0,42.0
2,Diesel_Generator_2.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,60.0
3,Diesel_Generator_1.5_MW_Unit_1,0.0,0.0,0.0,0.0,0.0,0.0,59.0
4,Diesel_Generator_1.5_MW_Unit_2,0.0,0.0,0.0,0.0,0.0,0.0,59.0
5,BESS,0.0,0.0,0.0,3500.0,3500.0,3500.0,7.0
6,TOTAL,6500.0,6500.0,6500.0,39250.0,39250.0,39432.5,
