,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Solar,2199.99,1269.99,2199.99,12099.94,6984.94,12099.94,5.5
1,Grid,3800.0,0.0,5.0,159600.0,0.0,210.0,42.0
2,Diesel_Generator_2.5_MW_Unit_1,0.0,0.0,1727.27,0.0,0.0,103636.36,60.0
3,Diesel_Generator_1.5_MW_Unit_1,0.0,0.0,1031.36,0.0,0.0,60850.45,59.0
4,Diesel_Generator_1.5_MW_Unit_2,0.0,0.0,1036.36,0.0,0.0,61145.45,59.0
5,BESS,0.0,4730.0,0.0,0.0,33110.0,0.0,7.0
6,TOTAL,5999.99,5999.99,5999.99,171699.94,40094.94,237942.22,
