,ENERGY SOURCE,CURRENT GENERATION (kW),COST OPTIMIZED GENERATION (kW),RELIABILITY OPTIMIZED GENERATION (kW),CURRENT COST/HR,COST OPTIMIZED COST/HR,RELIABILITY OPTIMIZED COST/HR,TOTAL COST (PKR/kWh)
0,Gas_Generator_2.5_MW_Unit_1,1500.0,0.0,2250,60000.0,0.0,90000,40.0
1,Gas_Generator_1.5_MW_Unit_1,1000.01,830.01,1350,40000.4,33200.4,54000,40.0
2,Gas_Generator_1.5_MW_Unit_2,500.0,0.0,1350,20000.0,0.0,54000,40.0
3,BESS,3000.0,5170.0,0,21000.0,36190.0,0,7.0
4,TOTAL,6000.01,6000.01,4950,141000.4,69390.4,198000,
